record_id,name,wikidata_id,birth_year,birth_date_en,birth_date_fr,birth_place,death_year,death_date_en,death_date_fr,death_place,last_name,first_name,gender,father,mother,family_details,discipline,education,student_of,prize_year,prize_details,subject_of_prize,arrival_year,rome_arrival_details,rome_stay_details,departure_year,rome_departure_details,envoi,career,appointments,awards,notes,century,regime,supervision,secretary_beaux_arts,director_academy,salons_expositions,representative_works,bibliography
465,Marcel Dupré,Q315879,1886,3 May 1886,3 mai 1886,Rouen (Seine Maritime),1971,30 May 1971,30 mai 1971,Meudon (Hauts de Seine),DUPRÉ,Marcel-Jean-Jules,male,"Marcel, titulaire de l’orgue de l’Immaculée Conception à Elbeuf puis à Saint-Vivien à Rouen","Alice Chauvière, pianiste et violoncelliste","Grand-père paternel : Amable Dupré, titulaire de l’orgue de l’église Saint-Maclou de Rouen pendant 40 ans. | Grand-père maternel : Étienne Chauvière, maître de chapelle de Saint-Patrice à Rouen.",composition musicale,"Il étudie avec son père. En 1898, à 12 ans, il tient les orgues de Saint-Vivien à Rouen. Conservatoire de musique de Paris, 1902.","Professeurs : Alexandre Guilmant (orgue), premier prix 1907. Louis Diémer (piano), premier prix en 1905, Louis Vierne (orgue), Charles-Marie Widor, (fugue), premier prix de fugue 1909.",1914,1914,"Scène lyrique, Psyché.",1919,Autorisé à demeurer à Paris pendant la durée de sa pension en raison de la guerre. Arrivé le 1er mai 1919,,1921,30 avril 1921,,"Titulaire des orgues de Notre-Dame de Paris de 1916 à 1920. | Il interprète l’intégrale de l’œuvre pour orgue de Bach en 1920. Organiste à l’église de Saint-Sulpice, en 1934. | Il effectue une tournée de concerts en Australie en 1935. Il est président de la «Société de musicologie» et du «Comité National de la Musique».","Professeur d’orgue et d’improvisation au Conservatoire de 1926 à 1954. | Directeur général du Conservatoire américain de Fontainebleau en 1947. | Directeur du Conservatoire de Paris de 1954 à 1956. | Écritsthéoriques : Traité d’improvisation à l’orgue, Paris 1926. Méthode d’orgue, Paris, 1927. Cours d’harmonie analytique, Paris,1936. Principes élémentaires d’acoustique, Paris, 1937. Exercices préparatoires à l’improvisation libre, Paris 1937. Manuel d’accompagnement du plain-chant grégorien, Paris, 1937. Cours de contrepoint, Paris, 1938. Cours de fugue, Paris, 1938.","Président de la «Société de musicologie» et du «Comité National de la Musique». Officier de la Légion d’honneur 1935, puis commandeur de la Légion d’honneur en 1948. Grand-croix de l’Ordre du Mérite, officier de l’Instruction publique. Ordre de Saint-Grégoire, 1966. Académie des beaux-arts, élu le 22 février 1956, 5ème section, fauteuil II. Président en 1961.",,XX,"IIIème République. Président : Raymond Poincaré ,18 décembre 1913-18 février 1920","Ministère de l’Instruction publique. Sous-secrétariat d’État des beaux-arts : Dalimier. Division de l’enseignement et des travaux d’art : Valentino. Premier bureau, Enseignement et manufactures nationales : Caviole-Dumoulin",Charles-Marie Widor (1915-1937).,"Albert Besnard, (1913-1921). Villa Médicis.",,"Compositeur : Trois préludes et fugue,1912. Symphonie-Passion, 1921. Le chemin de la croix, 1931. Nombreuses pièces pour orgue jusqu’en 1969.","Gavoty B., &amp; Hauert R., Marcel Dupré, Genève, 1955. | Delestre R., L’œuvre de Marcel Dupré. Paris : Éditions Musiques sacrées, 1952. | Warszawski, Jean-Marc, «Marcel Dupré». Musicologie Org. 2005. | Institut de France, Darius Milhaud. Notice sur la vie et l’œuvre de Marcel Dupré. n°17, 1972 Paris : Firmin Didot, 1972."
466,François-Xavier Dupré,Q26702351,1809,29 July 1809,VI Thermidor An XI (29 juillet 1809),Paris,1871,March 1871,1er mars 1871,Paris,DUPRÉ,François-Xavier,male,,,François-Xavier épouse Lise Ravel,peinture,"École royale et spéciale des beaux-arts de Paris, 3 septembre 1819.","Guillaume Lethière, Pierre-Narcisse Guérin",1827,1827,"Coriolan chez Tullius, roi des Volsques.",1828,24 février 1828. Pension à dater du 1er février 1828,Voir Envois,1832,31 décembre 1832,"1828, 1ère année | David vainqueur de Goliath. | 1829, 2ème année. | Scène de naufrage. | 1830, 3ème année. | Esquisse, figure peinte. | 1831, 4ème année. | Copie d’après Fra Batolomeo. | 1832, 5ème année | Épisode d’un tremblement de terre à Pompei.","Peintre. Membre de la Fondation Taylor, sociétaire 1845. |",,,,XIX,"Charles X, 24 septembre 1824-29 juillet 1830","Ministère de l’intérieur. Division des cultes non-catholiques, des sciences, lettres et beaux-arts des journaux et théâtres : de Lourdoueix. Premier bureau des sciences, belles-lettres, beaux-arts, journaux : Lancy",Quatremère de Quincy (1816-1839),"Pierre-Narcisse Guérin, (1823-1828). Villa Médicis.","Il expose aux salons de 1824, 1834, 1838, 1839, 1841, 1842, 1849, 1850, 1851.",,Bénézit. Gabet.
467,Georges Dupré,Q5625720,1869,24 October 1869,24 octobre 1869,Saint-Étienne (Loire),1909,June 1909,juin 1909,Paris,DUPRÉ,Georges,male,"Jean-Baptiste, armurier",Catherine Davier,,gravure en médailles et en pierres fines,"École des Arts industriels de Saint-Étienne (graveur-ciseleur). Il travaille à Paris comme ciseleur chez Mariotton, 1883. | École nationale des beaux-arts de Paris, 1892.","Gabriel-Jules Thomas, Louis-Oscar Roty.",1896,1896,"Oreste, poursuivi par les Euménides, se réfugie au pied de l’autel dédié à Minerve.",1896,le 29 décembre 1896. Pension à dater du 1er janvier 1897.,Voir Envois,1899,31 décembre 1899,"1897, 1ère année | Copie sur acier. | Méditation avec vue sur la Rome antique. Bas-relief. Dessin d’après nature. | Un vieillard et un enfant regardant la mer et le soleil levant à l’horizon. Bas-relief. | 1898, 2ème année. | Enfant au masque. Creux en acier. Méditation. Plaquette en argent. Alma Parens. Médaille en plâtre. | Deux sanguines, l’une d’après Raphaël, l’autre d’après un modèle vivant. | 1899, 3ème année. | L’Humanité. Médaille.",Graveur,,Mention honorable en 1893. Médaille de troisième classe en 1899. Médaille de seconde classe en 1901. Médaille de première classe en 1904. Prix Crozatier.,,XIX,"IIIème République. Président : Félix Faure, 17 janvier 1895-18 février 1899",Ministère de l’Instruction publique. Direction des Beaux-arts : Roujon. Bureau de l’enseignement des arts : Crost,Henri Delaborde (1874-1898).,"Eugène Guillaume, (1891-1904). Villa Médicis","Il expose au Salon des artistes français de 1892, 1893, 1894, 1899, 1900, 1901, 1903, 1904, 1906. Sociétaire en 1902.",,"AJ52 332. Acte de naissance 2874, Mairie de Saint-Étienne. Archives du Salon des artistes français. Bénézit. | “Georges Dupré”, L’Année Forézienne, 1909."
468,Michel Dupuis,Q106510552,1685,1685,1685,Paris,1742,3 March 1742,3 mars 1742,,DUPUIS,Michel,male,Fabricant de toiles peintes.,,"Un frère, Nicolas-Gabriel Dupuy, (1698-1771) graveur.",peinture,Académie royale de peinture et de sculpture.,,1720,1720 Sans prix. Brevet signé du Duc d’Antin.,,1720,14 décembre 1720,"« Pour le sr )Dupuis, il n’a jamais fait en France d’essay de son génie, qui paraît froid, n’ayant point eu de prix à l’Académie de Paris..; car l’air de Rome ne donne point de génie à ceux en qui l’on en point connu en France, et, s’ils n’ont point passé les épreuves de l’Académie, l’on court risque de faire des dépenses inutiles. Cependant, comme il a bonne volonté, il peut être au moins bon copiste, s’il ne prend un essort qui le pousse à quelques choses de plus », Lettre de Poerson à d’Antin datée du 30 juin 1722.",1723,juillet 1723,,"Académicien (27 octobre 1730 , morceau de réception : Portraits de Nicolas Coustou d’après Le Gros et de Nicolas Largillière d’après Geulain) au titre de graveur (Note 1). Un riche négociant, Jean de Julienne lui commande des gravures d’après les œuvres de Watteau.",,,"1) Est inscrit comme académicien sur la liste établie par Dussieux. AAF I, 357-424",XVIII,Régence (1715- 1723),Duc d’Antin (1708-1736),,"Charles-François Pœrson, (1704-1725). Palais Capranica.",Salons de 1737 et 1741.,,"PV. IV, 293. Corr. V, 413. VI, 156. Lapauze, 168. Sanchez, 615. | Sahut M.-C., Raymond, F., Antoine Watteau et l’art de l’estampe, catalogue du Musée du Louvre, 2010."
469,Daniel Jean Baptiste Dupuis,Q3013986,1849,15 February 1849,15 février 1849,Blois (Loir et Cher),1889,14 November 1889,"14 novembre 1889 (Sa femme, neurasthénique, le tue pendant son sommeil, puis se suicide).",Paris,DUPUIS,Jean-Baptiste-Daniel parfois Daniel-Dupuis.,male,"Étienne, peintre.",Virginie-Adèle-Félicie Chemin,"Frères : Émile-Georges, compositeur. Elisée-Marie, architecte, peintre.",gravure en médailles et en pierres dures,"École impériale et spéciale des beaux-arts de Paris, 15 octobre 1864. Peinture, puis sculpture 1866 (Cavelier), puis gravure sur médailles. | Il est blessé à la guerre de 1870.","Eugène Farochon, Hubert Ponscarme.",1872,"1872 Par décret du 13 novembre 1871, le décret du 13 novembre 1863 est abrogé: les jugements du concours sont rendus à l’Académie des beaux-arts.",Soldat spartiate préparant ses armes avant le combat des Thermopyles.,1873,15 janvier 1873. Pension à dater du 1er janvier 1873.,voir Envois,1875,31 décembre 1875.,"1873, 1ère année | Copie en creux d’une médaille antique. Petite tête d’étude en cire. Dessin d’après une figure de fronton du Parthénon. | Orphée pleurant Eurydice. Bas-relief. | Jeune fille buvant dans ses mains l’eau jaillissant d’une fontaine. Bas-relief grandeur nature. | 1874, 2ème année. | Tête d’Alexandre d’après l’antique. La Paix. Camée. | La Guerre. Médaille. | L’Automne. Esquisse en cire d’un camée. Dessin d’après nature. | 1875, 3ème année. | La France. Médaille. La Vierge et l’Enfant Jésus. Bas-relief. | Grand dessin de la Jurisprudence de Raphaël.",Il crée le «nouveau sou» en 1898,"Professeur de dessin aux écoles municipales de Paris, 1871","Premier prix au concours de la ville de Paris en 1869 et en 1879. Grand prix à l’exposition universelle d’Amsterdam, 1883. Médaille au salon et à l’Exposition universelle de 1889. Chevalier de la Légion d’honneur. Officier d’Académie, 1880. Officier de la Légion d’honneur, 1898.",,XIX,"IIIème République, Président : Thiers, 19 février 1871-23 mai 1873",Ministère de l’Instruction publique et des cultes : Jules Simon. Division des beaux-arts : Charles Blanc. Bureau des beaux-arts : Alexandre. Institut de France Secrétaire perpétuel de l’Académie des beaux-arts : Charles-Ernest Beulé (1862-1874),Charles-Ernest Beulé (1862-1874).,"Ernest Hébert (Premier directorat), (1867-1872). Villa Médicis.","Il participe aux salons de 1867-1870, 1872, 1875-79. et aux expositions à Amsterdam, Anvers, Bruxelles.",,"AJ 52 324. Faire-part de décès. Bénézit, Schurr. | H.C., «Dupuis Jean-Baptiste-Daniel» Revue encyclopédique, n°329, 23 décembre 1899, Paris, Larousse. | Inventaire du musée Daniel-Dupuis, Blois 1994. Fonds Daniel-Dupuis château de Blois. | Darnis, J-M., «Daniel Dupuis», Club français de la médaille, n°35-36, 1972."
470,Eugène-Joseph-Armand Duquesne,Q106510553,1868,13 July 1868,13 juillet 1868,Paris,1929,October 1929,octobre 1929,,DUQUESNE,Eugène-Joseph-Armand,male,"Auguste-Félix, parents pauvres",Eugénie-Alphonsine Fouart,,architecture,"École nationale des beaux-arts de Paris, 1886",Jean-Louis Pascal,1897,1897,Une église votive dans un lieu de pélerinage célèbre.,1897,le 29 décembre 1897. Pension à dater du 1er janvier 1898.,Voir Envois,1901,31 décembre 1901,"1899, 1ère année | Trophée de Marius. État actuel et restauration. | 1900, 2ème année. | Temple de la Paix Rome. Sainte Marie des Fleurs à Florence. | Palais municipal de Brescia. Palais municipal de Piacenza. | 1901, 3ème année. | Thermes de Caracalla. 1 châssis, 4 feuilles. | 1902, 4ème année. | Thermes de Caracalla. Restauration.","D.P.L.G., S.A.D.G., 1897 1898. Sous-inspecteur du Grand-Palais. . Architecte de l’Assistance publique, 1892.Il travaille aux États-Unis.",,Médaille d’honneur 1892. Médaille d’or 1896.,,XIX,"IIIème République. Président : Félix Faure, 17 janvier 1895-18 février 1899",Ministère de l’Instruction publique. Direction des Beaux-arts : Roujon. Bureau de l’enseignement des arts : Crost,Henri Delaborde (1874-1898).,"Eugène Guillaume, (1891-1904). Villa Médicis","Salon des artistes français, 1891. Il participe à l’Exposition universelle, 1900",,"Archives du Salon des artistes français. AJ 52 391. | «Eugène Duquesne», L’Illustration n° 4728, octobre 1933. | Martinon, Jean-Pierre, Éducations et carrières d’architectes. Grands prix de Rome, École d’architecture de Paris-Conflans, 1989. | Pinon, Pierre, Amprimoz, François-Xavier, Les envois de Rome (1778-1968). Architecture et archéologie. Collection de l’école française de Rome, 110, Palais Farnese, 1988"
471,Louis Jean-Jacques Durameau,Q3262314,1733,5 October 1733,5 octobre 1733,Paris,1796,3 September 1796,3 septembre 1796,Versailles (Yvelines),DURAMEAU,Louis-Jacques,male,"Jacques, maître-imprimeur en taille-douce",Marie Rocou,Jacques occupe le dernier rang dans la fratrie.,peinture,"Il fréquente l’atelier du sculpteur Jean-Baptiste Dufernex pour y apprendre le dessin. | Académie royale de peinture et de sculpture. | Prix de quartier : 1752 (3M), 1754 (2M). | Il remporte le concours de la « Tête d’expression » créé par Caylus. | École royale des élèves protégés : 20 octobre 1757-mai 1760. | Brevet du 24 août 1760.","Jean-Baptiste-Marie Pierre, Carle Van Loo",1757,27 août 1757 1er prix.,Le Prophète Élie ressuscite le fils de la Sunamite.,1761,28 mai 1761,"Durameau copie Le malade, femme et enfant d’après le Dominiquin ; une Tête et Tête de femme d’après Guido Reni. Il a des problèmes avec les représentants du Vatican. Il répond à la demande de l’historien Pierre-Jean Mariette qui souhaite avoir des copies de peintres d’histoire italiens (Luca Giordano, Baciccio, Francesco Trevisani, Francesco Solimena, Sebastiano Ricci, etc.)",1764,30 octobre 1764,,"Agréé le 25 janvier 1766. Académicien (27 août 1774, morceau de réception : L’Eté, ou Cérès et ses compagnes implorant le Soleil). Peintre de la Chambre et du Cabinet du Roi. en 1778. Garde des tableaux de Versailles en 1784. Commissaire préposé au Museum en 1792. Garde des tableaux de la Nation à Versailles en 1793. Conservateur du Musée spécial de l’École française en 1795.","Adjoint à professeur (1776), professeur (1781). Professeur à l’école de peinture et de sculpture, confirmé le 28 décembre 1794.",,"1) Diderot, salons de 1767 (309), 1775 (21)",XVIII,Louis XV (1743-1774),Marquis de Marigny (1751-1774),,"Charles Natoire, (1751-1775). Palais Mancini.","Salons de 1767, 1773, 1775 (Note 1), 1777, 1779, 1783, 1789, 1796.","Il peint un plafond à l’Opéra royal de Versailles ayant pour thème Apollon préparant des couronnes aux hommes illustres dans les arts, à l’occasion du mariage du Dauphin et de Marie-Antoinette, en 1770.","PV. VII, 35. Corr. XI, 385. Actes d’État civil d’artistes français, BSAF, 1929, tome 1, 158-159. Sanchez, 617-620. | Sandoz, M., Louis Durameau 1733-1796, Paris, Éditart-Quatrechemins, 1980. | « Les peintres du Roi 1648-1793 » Catalogue Tours 2000 (R 356). | Leclair,Anne, Louis-Jacques Durameau (1733-1796), Paris, Éd. Arthéna, 2001. | L’Antiquité rêvée, innovations et résistances au XVIIIe siècle, G. Faroult, Ch. Léribault, G. Scherf (dir.). Paris, Musée du Louvre, 2 décembre 2010 - 14 février 2011. Gallimard, 2010."
472,Pierre Amédée Durand,Q94939575,1789,15 March 1789,15 mars 1789,Paris,1873,21 August 1873,21 août 1873,Paris,DURAND,Pierre-Amédée,male,"Pierre, Maître menuisier","Catherine Victoire Deseine (sœur de André Deseine, statuaire, de Louis-Pierre, 1er Grand Prix de sculpture en 1780 et de Louis-Étienne, 1er Grand prix d’architecture en 1777).","Frère aîné : Claude-Pierre-Louis, architecte.",gravure en médailles et en pierres fines,"École nationale de peinture, de sculpture et d’architecture de Paris.","Antoine-Denis Chaudet, Romain Jeuffroy",1810,1810 Brevet : 6 octobre 1810.,Ulysse reconnu par son chien,1811,le 27 octobre 1811,Buste du Roi Murat et de ses deux enfants,1813,31 décembre 1813,,Médailleur à Londres 1816. Il reçoit des commandes de l’Empire puis de Louis XVIII. Il met au point deux presses à imprimer en 1821. Il ouvre son propre cabinet d’édition de médailles jusqu’en 1846. Il délaisse la sculpture et la gravure pour s’occuper de mécanique industrielle. Vice-président de la Société d’encouragement à l’Industrie. Membre de la Société centrale d’architecture. Projets de fontaines à Bordeaux.,,,,XIX,"Premier Empire : Napoléon 1er, 18 mai 1804-4 avril 1814","Ministère de l’Intérieur, 3e division : Barbier-Neuville. Bureau des beaux-arts : Amaury-Duval",Joachim Lebreton (1803-1815),"Guillaume Guillon-Lethière, (1807-1816). Villa Médicis.",Il expose aux Salons à partir de 1817,"Il exécute le Monument au duc d’Enghien, chapelle de Vincennes.","Darnis, J-M., «Pierre-Amédée Durand», Bulletin Club français de la médaille n°55-56, éd trimestre 1977. Bénézit. | Barral, Jean-Augustin, Éloge biographique de Pierre-Amédée Durand. Société nationale d’agriculture de France, Paris : J. Tremblay, 1880. | Lacroix-Spacenska, B., Aqueducs, fontaines à Bordeaux au XIXème siècle, Bordeaux, Office du tourisme, 1988."
473,Francisque Joseph Duret,Q1442354,1804,19 October 1804,19 octobre 1804,Paris,1865,26 May 1865,26 mai 1865,Paris,DURET,Francisque-Joseph,male,"François-Joseph Duret (mort en 1816), sculpteur",,,sculpture,"Cours de théâtre. Atelier de son père. École nationale de peinture, de sculpture et d’architecture de Paris, 19 octobre 1818.",François-Joseph Bosio,1823,1823 Second premier grand prixBrevet : 4 octobre 1823.,Douleur d’Évandre sur le corps de son fils Pallas,1824,4 juillet 1824. Pension à dater du 1er janvier 1824,Voir Envois,1828,31 décembre 1828,"1824, 1ère année | Clytemnestre, tête d’étude. | 1825, 2ème année. | Sapho et Phaon.Oreste. Copie de l’antique. (Musée Calvet, Avignon). | 1826, 3ème année. | Berger élevant un tombeau au moucheron dont la piqûre en le réveillant le préservera de la morsure d’un serpent. | 1827, 4ème année. Envoi non terminé. | 1828, 5ème année. | Mercure tirant le premier son de sa lyre.","Il reçoit de nombreuses commandes publiques : Louvre, Palais de justice, Bourse, Théâtre Français, Fontaine Saint-Michel, Fontaine des Ambassadeurs, Églises de la Madeleine, de Notre-Dame de Lorette, de Sainte-Clotilde et de Saint Vincent de Paul.",Professeur de sculpture à l’École royale des beaux-arts de Paris du 10 décembre 1852 à 1863 (Démis par le décret du 13 novembre 1863). Il remplace Jules Ramey. Renommé le 22 février 1864. Membre du Conseil supérieur des Beaux-arts.,"Médaille d’or, 1831. Médaille de première classe au Salon de 1833. Grande médaille à l’Exposition universelle en 1855. | Chevalier de la Légion d’honneur en 1833. Officier en 1853. | Membre de l’Académie des Beaux-arts, élu en 1843,2ème section, fauteuil VIII.",,XIX,"Restauration : Louis XVIII, 6 avril 1814-28 août 1824","Ministère de l’intérieur. Division des belles-lettres, beaux- arts, instruction publique, journaux et théâtres : de Lourdoueix.",Quatremère de Quincy (1816-1839),"Charles Thévenin, (1816-1823). Villa Médicis.",Salons de 1831 à 1863,Voir carrière,"AJ 52 / 324. Reconstitution d’état-civil, 3374. Bénézit. | Beulé, Lenoir, Albert, Institut de France. Discours prononcés aux funérailles de Francisque Duret École des beaux-arts) 27 mai 1865. Paris : Firmin Didot, 1865. | Beulé. Charles-Ernest, Institut impérial de France. Notice sur la vie et les œuvres de Francisque Duret, Publications de l’Institut, Paris : impr. de F. Didot, 1866 | Blanc, Charles, «Francisque Duret», Paris : extrait de la Gazette des Beaux-arts, 1866. | Lenormand Antoinette, La tradition classique et l’esprit romantique. Académie de France à Rome, 1981. | Bonfait, Olivier, Maesta di Roma, da Napoleone all ’Unita d’Italia. D’Ingres à Degas. Les artistes français à Rome, Rome : Villa Médicis, 2003. Milan : Electa, 2003. p.448-449."
474,Claude Durrens,Q1096651,1921,22 August 1921,22 août 1921,Cenon (Gironde),2002,20 December 2002,20 décembre 2002,Bordeaux (Gironde),DURRENS,Claude,male,"Kleber, employé Compagnie Saint-Gobain","Raymonde Mompès, tailleuse",,gravure en taille-douce,"École nationale supérieure des Beaux -Arts de Paris, atelier Nicolas Untersteller, 30 octobre 1947.",Robert Cami,1952,1952,Le combat du jour et de la nuit,1953,8 février 1953. Pension à dater du 1er janvier 1953,Voir Envois,1956,30 avril 1956,"1954, 2ème année | Portrait de femme d’après nature. | Illustrations pour la Divine comédie.","Il fait une sculpture en plein-air à Boulazac. Il reçoit le Grand prix de l’art philatélique en 1961, 1964, 1966.",,,,XX,"IVème République. Président : Vincent Auriol, janvier 1947-janvier 1954",Ministère de l’Éducation nationale. Secrétaire d’État aux Beaux-Arts : André Cornu. Direction générale des arts et lettres : Jacques Jaujard. Direction des arts plastiques. Enseignement et production artistique : Marcel Mortreux,Adolphe Boschot (1937-1955),"Jacques Ibert 2, (1944-1961). Villa Médicis.",,Il grave de nombreux timbres et crée le Billet de 500 f. (Pascal),"Acte de naissance n°139 mairie de Cenon. AJ 52 1185. Internet. Écho de la timbrologie, mars 2001."
475,Robert Dussaut,Q3435011,1896,19 September 1896,19 septembre 1896,Paris,1969,23 October 1969,23 octobre 1969,Paris,DUSSAUT,Robert,male,"Anatole-Martial, directeur d'hôpital","Marthe Dussaut, cousine germaine de son mari.",,composition musicale,Conservatoire national supérieur de Paris,Professeur : Charles-Marie Widor (composition).,1924,1924,"Cantate, Les Amants de Vérone.",1925,janvier 1925,Voir Envois,1928,30 avril 1928,"1925, 1ère année | Sept mélodies pour chant et orchestre. Quatuor à cordes. | 1926, 2ème année. | La Fontaine de Pristina. Opéra en cinq actes. | 1927, 3ème année. | La Fontaine de Pristina.","Compositeur. | Théoricien de la musique. Il fait des recherches d’acoustique musicale auprès de l’Académie des Sciences. IL écrit un ouvrage théorique, Clartés sur les bases scientifiques de la musique.","Professeur de solfège au Conservatoire, 1936.",Prix Georges Bizet de l’Académie des Beaux-Arts. Prix Tornov-Lœffler de l’Académie des Beaux-Arts. Grand prix Jacques Durand de l’Académie des Beaux-Arts.,,XX,"IIIème République. Président : Alexandre Millerand, 23 septembre 1920-11 juin 1924","Ministère de l’éducation nationale. Direction des beaux-arts : Paul Léon. 6ème bureau, sous-chef : Féron",Charles-Marie Widor (1915-1937),"Denis Puech, (1921-1933). Villa Médicis.",,"Ses œuvres : 2 drames lyriques, La Fontaine de Pristina et Altanina (commande de l’État créée au Grand-Théâtre de Bordeaux en 1969). Un opéra comique, Manette Lescaut. Un opéra, La conversion de Némania, | Une musique de scène, L’ultime traversée ainsi que la Symphonie n° 1 pour instruments à cordes et la Symphonie n° 2 pour grand orchestre, dite Symphonie chorégraphique (Commande de l’État). La Rapsodie serbe, un Quatuor à cordes, un Quintette pour piano et cordes etdes mélodies.","Site ""Musica et memoria"", Denis Havard de la Montagne. | AJ 13 base Opéra."
477,Arthur Dutert,Q43292386,1839,17 April 1839,17 avril 1839,Douai (Nord),1868,20 April 1868,20 avril 1868,Rome (Italie),DUTERT,Arthur-Fleury-Victor,male,"Louis-Joseph-Oscar, marchand-coutelier.",Clarissa Joseph Supin,"Grand-père : directeur d’école académique. Un frère, Charles-Louis, prix de Rome d’architecture en 1869.",architecture,"École impériale et spéciale des beaux-arts, 1853.","Louis-Hippolyte Lebas, Gustave Meurant, Léon-Paul Ginain.",1864,1864 Second premier grand prix (Jury spécial).,Un hospice dans une haute montagne des Alpes,1865,30 janvier 1865. Pension à dater du 1er janvier 1865,Voir Envois,1868,Décédé à Rome le 20 avril 1868 «à 2 heures du matin».,"1866, 1ère année | La Porte de Fano. 1 dessin. | 1867, 2ème année. | Temple de Mars Vengeur. | 1868, 3ème année. | État actuel et restauration de l’Ædes Publica (Palatin). 5 feuilles.",,,,,XIX,"Second Empire : Napoléon III, 2 décembre 1852-4 septembre 1870",Ministère de la Maison de l’Empereur et des beaux-arts. Surintendance des beaux-arts : Comte de Nieuwekerke. Directeur : Courmont. Bureau des beaux-arts : Tournois,Charles-Ernest Beulé (1862-1874),"Jean-Victor Schnetz, (2ème directorat) (1853-1866). Villa Médicis",Salon de 1867.,,"Registre d’État-civil, mairie de Douai n°196 (acte de naissance et de décès). AJ 52 388. Chœur, Jacqueline, «Un douaisien oublié : Arthur Dutert 1839-1868», Les Amis de Douai, janvier-mars 1884. | ""Arthur Dutert», Les Amis de Douai, octobre-décembre 1994. | Martinon, Jean-Pierre, Éducations et carrières d’architectes. Grands prix de Rome, École d’architecture de Paris-Conflans, 1989. | Pinon, Pierre, Amprimoz, François-Xavier, Les envois de Rome (1778-1968). Architecture et archéologie. Collection de l’école française de Rome, 110, Palais Farnese, 1988."
478,Ferdinand Dutert,Q153163,1845,21 October 1845,21 octobre 1845,Douai (Nord),1906,12 February 1906,12 février 1906,Paris (14ème arrondissement),DUTERT,Charles-Louis-Ferdinand,male,"Louis-Joseph-Oscar, marchand-coutelier.",Clarissa-Joseph Supin.,"Grand-père directeur d’école académique.Un frère ainé, Arthur, Premier grand prix de Rome d’architecture en 1864 (mort à la Villa Médicis en 1868).",architecture,"École impériale et spéciale des beaux-arts de Paris, promotion 1863.","Louis-Hippolyte Lebas, Léon-Paul Ginain",1869,1869 (jury spécial).,Palais de l’ambassade française dans la capitale d’un puissant état.,1870,17 janvier 1870. Pension à dater du 1er janvier 1870,Voir Envois,1873,31 décembre 1873,"1871, 1ère année | Arc de Titus. Détails. Temple de Mars Vengeur. | Pompei. Détails du Forum Triangulaire. | Aquarelle de la Frise des Masques. | 1872, 2ème année. | Restauration de la Palestre des Césars, d’après les relevés de feu Arthur Dutert. | 1873, 3ème année. | Étude d’une peinture décorative au Mont Palatin. | Étude restaurée de l’entablement du Temple de Castor et Pollux. | Étude restaurée de l’entablement du Temple de la Concorde. | Étude de la Porte Santo Spirito, à Rome. | 1874, 4ème année. | Restauration du Forum Romain.",Architecte des Bâtiments civils et palais nationaux. Architecte du Museum 1889. D.P .L.G. 1887. | Musée des arts industriels de Roubaix.,Inspecteur Général de dessin des écoles d’art en 1879. Directeur de l’Enseignement au Ministère des arts en 1881. Conseil supérieur de l’Enseignement des beaux-arts en 1892.,"Médaille au Salon de 1875. Médailles aux Expositions universelles de 1878 et de 1889 (médaille d’or). Médaille SCA, 1879. Prix Osiris, 1889. | Chevalier de la Légion d’honneur 1883. Officier 1889. Officier Instruction publique, 1886. Palmes académiques, 1880",,XIX,"Second Empire : Napoléon III, 2 décembre 1852-4 septembre 1870",Ministère de la Maison de l’Empereur et des beaux-arts. Surintendance des beaux-arts : Comte de Nieuwekerke. Directeur : Courmont. Bureau des beaus-arts : Alexandre.,Charles-Ernest Beulé (1862-1874).,"Ernest Hébert (Premier directorat), (1867-1872). Villa Médicis.","Salon des artistes français, 1868, 1869, 1875, 1877, 1878.",Il construit la Galerie des machines à l’Exposition universelle de 1889 (avec Victor Contamin). Il fait la galerie de paléontologie au Museum d’histoire naturelle ainsi que le Monument pour la bataille de Wattignies àMaubeuge et Monument de Thiers à Douai.,"SADG. Fichier SAF. Acte de décès, Paris. AJ 52 364. | Oudoire, J-M., L’œuvre de F. Dutert et sa place dans le renouvellement de l’architecture après 1871, puis Ferdinand Dutert, une architecture de plain-pied avec le XXe siècle, Thèse de doctorat, université Lille 3, dir. M. Robichon, Villeneuve d’Ascq, 2003. | Martinon, Jean-Pierre, Éducations et carrières d’architectes. Grands prix de Rome, École d’architecture de Paris-Conflans, 1989. | Pinon, Pierre, Amprimoz, François-Xavier, Les envois de Rome (1778-1968). Architecture et archéologie. Collection de l’école française de Rome, 110, Palais Farnese, 1988."
